Visual,FreqNet,ECAPA,CrossModal,Biometric,auc,margin,err_tau,acc_tau
0.0,0.0,0.55,0.15,0.3,0.99939052704899,-0.2231395454589844,31,98.56614246068455
0.0,0.0,0.55,0.2,0.25,0.9993946731234867,-0.20640234545898428,31,98.56614246068455
0.0,0.0,0.55,0.25,0.2,0.9993946731234867,-0.18966514545898444,31,98.56614246068455
0.0,0.0,0.55,0.3,0.15,0.9993988191979833,-0.17536447352294943,30,98.61239592969473
0.0,0.0,0.55,0.35,0.1,0.9994112574214733,-0.16573752352294935,30,98.61239592969473
0.0,0.0,0.55,0.4,0.05,0.9994195495704666,-0.15611057352294933,30,98.61239592969473
0.0,0.0,0.55,0.45,0.0,0.99942784171946,-0.14648362352294925,30,98.61239592969473
0.0,0.0,0.6,0.0,0.4,0.9992744369630834,-0.3535490677734374,34,98.42738205365403
0.0,0.0,0.6,0.05,0.35,0.9992951673355667,-0.3368118677734375,33,98.47363552266421
0.0,0.0,0.6,0.1,0.3,0.9992951673355667,-0.3200746677734374,33,98.47363552266421
0.0,0.0,0.6,0.15,0.25,0.9992993134100634,-0.30333746777343745,33,98.47363552266421
0.0,0.0,0.6,0.2,0.2,0.9993076055590567,-0.28660026777343744,33,98.47363552266421
0.0,0.0,0.6,0.25,0.15,0.9993158977080501,-0.2698630677734375,33,98.47363552266421
0.0,0.0,0.6,0.3,0.1,0.9993241898570433,-0.25998139838867196,33,98.47363552266421
0.0,0.0,0.6,0.35,0.05,0.9993366280805334,-0.25035444838867194,33,98.47363552266421
0.0,0.0,0.6,0.4,0.0,0.9993449202295267,-0.2407274983886719,33,98.47363552266421
0.0,0.0,0.65,0.0,0.35,0.9991293243557,-0.43374699008789064,36,98.33487511563366
0.0,0.0,0.65,0.05,0.3,0.9991459086536867,-0.41700979008789063,36,98.33487511563366
0.0,0.0,0.65,0.1,0.25,0.9991459086536867,-0.40027259008789057,36,98.33487511563366
0.0,0.0,0.65,0.15,0.2,0.9991500547281833,-0.3835353900878907,36,98.33487511563366
0.0,0.0,0.65,0.2,0.15,0.99915420080268,-0.3667981900878906,35,98.38112858464385
0.0,0.0,0.65,0.25,0.1,0.9991583468771766,-0.3542252732543946,35,98.38112858464385
0.0,0.0,0.65,0.3,0.05,0.9991624929516734,-0.34459832325439466,35,98.38112858464385
0.0,0.0,0.65,0.35,0.0,0.99916663902617,-0.33497137325439463,35,98.38112858464385
0.0,0.0,0.7,0.0,0.3,0.9990298185677801,-0.5139449124023436,37,98.2886216466235
0.0,0.0,0.7,0.05,0.25,0.9990505489402633,-0.4972077124023437,37,98.2886216466235
0.0,0.0,0.7,0.1,0.2,0.9990546950147601,-0.48047051240234373,37,98.2886216466235
0.0,0.0,0.7,0.15,0.15,0.9990629871637534,-0.4637333124023438,37,98.2886216466235
0.0,0.0,0.7,0.2,0.1,0.9990712793127466,-0.4484691481201172,37,98.2886216466235
0.0,0.0,0.7,0.25,0.05,0.9990712793127466,-0.4388421981201172,38,98.24236817761333
0.0,0.0,0.7,0.3,0.0,0.99907957146174,-0.42921524812011724,37,98.2886216466235
0.0,0.0,0.75,0.0,0.25,0.9989593353013367,-0.5941428347167969,38,98.24236817761333
0.0,0.0,0.75,0.05,0.2,0.99898006567382,-0.577405634716797,38,98.24236817761333
0.0,0.0,0.75,0.1,0.15,0.9989842117483166,-0.560668434716797,38,98.24236817761333
0.0,0.0,0.75,0.15,0.1,0.9989842117483166,-0.5439312347167969,38,98.24236817761333
0.0,0.0,0.75,0.2,0.05,0.9989883578228134,-0.5330860729858399,38,98.24236817761333
0.0,0.0,0.75,0.25,0.0,0.9989966499718067,-0.5234591229858399,38,98.24236817761333
0.0,0.0,0.8,0.0,0.2,0.9989137284818733,-0.6743407570312501,38,98.24236817761333
0.0,0.0,0.8,0.05,0.15,0.9989261667053634,-0.6576035570312502,38,98.24236817761333
0.0,0.0,0.8,0.1,0.1,0.99893031277986,-0.6408663570312501,38,98.24236817761333
0.0,0.0,0.8,0.15,0.05,0.99893031277986,-0.6273299478515626,38,98.24236817761333
0.0,0.0,0.8,0.2,0.0,0.99893031277986,-0.6177029978515626,38,98.24236817761333
0.0,0.0,0.85,0.0,0.15,0.9988142226939534,-0.7545386793457032,39,98.19611470860315
0.0,0.0,0.85,0.05,0.1,0.99883080699194,-0.7378014793457032,39,98.19611470860315
0.0,0.0,0.85,0.1,0.05,0.9988349530664367,-0.7216315460163116,40,98.14986123959298
0.0,0.0,0.85,0.15,0.0,0.9988390991409334,-0.7119468727172853,40,98.14986123959298
0.0,0.0,0.9,0.0,0.1,0.9986235032671067,-0.8347366016601563,43,98.01110083256243
